filename,lap_var,fft_hf_ratio,noise_est,local_var
000131.npy,0.02606267,0.999847,0.01661448,0.13872515
000132.npy,0.00543293,0.999964,0.00573815,0.02658821
000133.npy,0.08536894,0.998160,0.06082540,0.09089130
000134.npy,0.02906093,0.998259,0.02877884,0.04327092
000135.npy,0.09394039,0.997797,0.06411842,0.09546423
000136.npy,0.00977987,0.999785,0.00797795,0.08425202
000138.npy,0.01761525,0.995214,0.02040425,0.05702486
000139.npy,0.01615705,0.994900,0.01897416,0.05284623
000140.npy,0.04952970,0.999879,0.01201506,0.14743000
000141.npy,0.03382677,0.999828,0.01295714,0.17158027
000142.npy,0.03193553,0.999861,0.01269169,0.17151666
000143.npy,0.03363759,0.999829,0.01292832,0.17122997
000144.npy,0.01385026,0.999779,0.01547362,0.06334435
000146.npy,0.01313564,0.999550,0.02467947,0.03016682
000147.npy,0.01287796,0.999565,0.02484767,0.02982664
000148.npy,0.02076687,0.999679,0.01892089,0.09963149
000150.npy,0.01579876,0.999665,0.02550588,0.04433469
000151.npy,0.01625331,0.999667,0.02619866,0.04472712
000152.npy,0.05429002,0.998339,0.02969112,0.09703346
000153.npy,0.01270860,0.999560,0.02496359,0.06138548
000154.npy,0.00742268,0.999811,0.01856737,0.05165633
000156.npy,0.02970491,0.999525,0.01232332,0.16428633
000157.npy,0.00627039,0.999019,0.00548021,0.04911933
000158.npy,0.00494088,0.999271,0.00492755,0.04870341
000163.npy,0.00249344,0.999948,0.00712557,0.10830248
000164.npy,0.00880550,0.999985,0.00865246,0.09634498
000165.npy,0.00127825,0.999973,0.00638256,0.08132731
000166.npy,0.00130868,0.999964,0.00661472,0.07828263
000168.npy,0.02189105,0.999915,0.00694118,0.12659806
000169.npy,0.00291555,0.999967,0.00969070,0.02595816
000170.npy,0.00215458,0.999978,0.00846684,0.02192623
000171.npy,0.00155424,0.999974,0.00392241,0.02216050
000172.npy,0.02079723,0.999670,0.03098372,0.05333328
000173.npy,0.07920269,0.997387,0.06310703,0.06665862
000174.npy,0.07197946,0.997255,0.05951016,0.06400954
000175.npy,0.07339789,0.997146,0.06051233,0.06457542
000176.npy,0.03227746,0.999577,0.00797835,0.09407462
000177.npy,0.03379081,0.999037,0.03915028,0.04854267
000178.npy,0.01236743,0.999802,0.02359624,0.02947704
000179.npy,0.03728684,0.998927,0.04094960,0.05109921
000180.npy,0.00190933,0.999822,0.00544721,0.02515472
000181.npy,0.01179321,0.999630,0.01449733,0.07712100
000184.npy,0.03181460,0.999846,0.01756234,0.09217488
000185.npy,0.00214632,0.999838,0.00866162,0.07322600
000186.npy,0.00220714,0.999845,0.00848318,0.07051792
000187.npy,0.00213724,0.999839,0.00871026,0.07315043
000189.npy,0.03304097,0.999377,0.01472461,0.11738911
000191.npy,0.03046097,0.999346,0.01474063,0.10836131
000192.npy,0.01311984,0.999931,0.00226212,0.02349591
000193.npy,0.00964267,0.999895,0.00675074,0.11696863
000194.npy,0.00900170,0.999895,0.00642312,0.11072415
000195.npy,0.00886196,0.999892,0.00624349,0.10828419
000196.npy,0.02152221,0.999837,0.01569886,0.10149419
000197.npy,0.00326814,0.999972,0.00850048,0.08654971
000198.npy,0.00323561,0.999974,0.00848356,0.08431774
000199.npy,0.00321587,0.999972,0.00852266,0.08586881
000200.npy,0.03108229,0.999093,0.03186130,0.04672108
000201.npy,0.00642124,0.999898,0.01331406,0.02929471
000202.npy,0.00524517,0.999913,0.01220754,0.02709020
000203.npy,0.00590319,0.999901,0.01282998,0.02824478
000204.npy,0.03273770,0.999634,0.00355815,0.06794090
